PeakID (cmd=annotatePeaks.pl /home/jerry/Documentos/Python3.10/prueba/datos/Sanchez_et_al_peaks.narrowPeak mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Sanchez_et_al_peak_110	chr1	156732325	156732541	+	217	NA	Intergenic	PB1D11|SINE|Alu	-13523	NM_145413	215015	Mm.229107	NM_145413	ENSMUSG00000033557	Fam20b	C530043G21Rik|mKIAA0475	family with sequence similarity 20, member B	protein-coding
Sanchez_et_al_peak_2158	chr6	124801586	124801800	+	212	NA	Intergenic	MMETn-int|LTR|ERVK	-6968	NM_001306050	14794	Mm.261906	NM_013539	ENSMUSG00000038451	Spsb2	AI461677|C9|Grcc9|SSB2	splA/ryanodine receptor domain and SOCS box containing 2	protein-coding
Sanchez_et_al_peak_309	chr11	6528449	6528789	+	212	NA	non-coding (NR_045893, exon 1 of 4)	non-coding (NR_045893, exon 1 of 4)	141	NR_045893	100041286	Mm.459507	NR_045893	ENSMUSG00000085156	Snhg15	Gm11974	small nucleolar RNA host gene 15	ncRNA
Sanchez_et_al_peak_903	chr15	78845323	78845627	+	212	NA	intron (NM_027219, intron 1 of 2)	intron (NM_027219, intron 1 of 2)	2828	NM_027219	104445	Mm.307488	NM_027219	ENSMUSG00000049521	Cdc42ep1	1810058K22Rik|AA980734|Borg5|CEP1|MSE55	CDC42 effector protein (Rho GTPase binding) 1	protein-coding
Sanchez_et_al_peak_248	chr10	91183414	91183648	+	212	NA	Intergenic	Intergenic	-11912	NM_001080129	21917	Mm.159684	NM_011605	ENSMUSG00000019961	Tmpo	5630400D24Rik|AI195756|AI606875|AW214352|AW547477|LAP2|TP	thymopoietin	protein-coding
Sanchez_et_al_peak_752	chr14	31017928	31018208	+	212	NA	intron (NR_104298, intron 1 of 14)	B3|SINE|B2	1063	NR_104298	30877	Mm.88512	NM_153547	ENSMUSG00000042354	Gnl3	Ns	guanine nucleotide binding protein-like 3 (nucleolar)	protein-coding
Sanchez_et_al_peak_493	chr11	109011822	109012080	+	209	NA	Intergenic	LSU-rRNA_Hsa|rRNA|rRNA	91602	NM_015732	12006	Mm.71710	NM_015732	ENSMUSG00000000142	Axin2	Axi1|Axil|Conductin	axin 2	protein-coding
Sanchez_et_al_peak_339	chr11	44518525	44518794	+	209	NA	promoter-TSS (NM_028862)	promoter-TSS (NM_028862)	-297	NM_028862	74315	Mm.156771	NM_028862	ENSMUSG00000019189	Rnf145	3732413I11Rik|TMRF1	ring finger protein 145	protein-coding
Sanchez_et_al_peak_273	chr10	119240343	119240611	+	208	NA	promoter-TSS (NM_027994)	promoter-TSS (NM_027994)	-422	NM_027994	71902	Mm.203965	NM_027994	ENSMUSG00000020114	Cand1	2310038O07Rik|6330512O03Rik|AI195005|AI846556|D10Ertd516e|Tp120a|mKIAA0829	cullin associated and neddylation disassociated 1	protein-coding
Sanchez_et_al_peak_1870	chr5	53676712	53677040	+	208	NA	Intergenic	Intergenic	21712	NR_024201	19866		NR_024201	ENSMUSG00000089083	Rnu7	-	U7 small nuclear RNA	snRNA
Sanchez_et_al_peak_1834	chr4	154223146	154223400	+	206	NA	intron (NM_001162977, intron 3 of 36)	intron (NM_001162977, intron 3 of 36)	52560	NM_001162977	230971	Mm.275216	NM_172273	ENSMUSG00000057751	Megf6	2600001P17Rik|Egfl3	multiple EGF-like-domains 6	protein-coding
Sanchez_et_al_peak_1332	chr19	44418122	44418309	+	206	NA	Intergenic	Intergenic	-10506	NM_009127	20249	Mm.267377	NM_009127	ENSMUSG00000037071	Scd1	AA589638|AI265570|Scd|Scd-1|ab	stearoyl-Coenzyme A desaturase 1	protein-coding
Sanchez_et_al_peak_1629	chr3	98261546	98261764	+	206	NA	Intergenic	Intergenic	-18776	NM_008256	15360	Mm.289131	NM_008256	ENSMUSG00000027875	Hmgcs2	1300002P16|mHS	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2	protein-coding
Sanchez_et_al_peak_1760	chr4	122961248	122961581	+	206	NA	promoter-TSS (NM_029662)	promoter-TSS (NM_029662)	-226	NM_029662	76574	Mm.331842	NM_029662	ENSMUSG00000028655	Mfsd2a	1700018O18Rik|Mfsd2|NLS1	major facilitator superfamily domain containing 2A	protein-coding
Sanchez_et_al_peak_1969	chr5	140419108	140419363	+	206	NA	promoter-TSS (NM_133916)	promoter-TSS (NM_133916)	-70	NM_133916	27979	Mm.21671	NM_133916	ENSMUSG00000056076	Eif3b	AL033316|AL033334|AL033369|AW208965|D5Wsu45e|EIF3-ETA|EIF3-P110|EIF3-P116|Eif3s9|PRT1	eukaryotic translation initiation factor 3, subunit B	protein-coding
Sanchez_et_al_peak_791	chr14	70337138	70337335	+	206	NA	intron (NM_144808, intron 1 of 9)	intron (NM_144808, intron 1 of 9)	11197	NM_001135152	213053	Mm.270647	NM_144808	ENSMUSG00000022094	Slc39a14	FAD-123|ZIP-14|Zip14|fad123	solute carrier family 39 (zinc transporter), member 14	protein-coding
Sanchez_et_al_peak_224	chr10	80264681	80264870	+	206	NA	promoter-TSS (NM_001122605)	promoter-TSS (NM_001122605)	-216	NM_001122605	70248	Mm.148693	NM_133188	ENSMUSG00000069565	Dazap1	2410042M16Rik|mPrrp	DAZ associated protein 1	protein-coding
Sanchez_et_al_peak_1961	chr5	138863881	138864122	+	206	NA	Intergenic	Intergenic	43921	NM_001195128	384244	Mm.485002	NM_001195128	ENSMUSG00000094504	Gm5294	EG384244	predicted gene 5294	protein-coding
Sanchez_et_al_peak_1102	chr17	28930629	28930874	+	206	NA	Intergenic	ID_B1|SINE|B4	11511	NM_153390	69307	Mm.107605	NM_153390	ENSMUSG00000045378	Pxt1	1700001G18Rik|Stepp	peroxisomal, testis specific 1	protein-coding
Sanchez_et_al_peak_1074	chr17	12675730	12675940	+	206	NA	promoter-TSS (NM_009202)	promoter-TSS (NM_009202)	3	NM_009202	20517	Mm.594	NM_009202	ENSMUSG00000023829	Slc22a1	Lx1|Oct1|Orct|Orct1	solute carrier family 22 (organic cation transporter), member 1	protein-coding
Sanchez_et_al_peak_1016	chr16	33518259	33518494	+	206	NA	promoter-TSS (NM_001083902)	promoter-TSS (NM_001083902)	-159	NM_001083902	171286	Mm.35253	NM_134251	ENSMUSG00000035506	Slc12a8	CCC9|E330020C02Rik	solute carrier family 12 (potassium/chloride transporters), member 8	protein-coding
Sanchez_et_al_peak_809	chr14	115042807	115043000	+	206	NA	promoter-TSS (NR_029785)	promoter-TSS (NR_029785)	-768	NR_029785	723905		NR_029785	ENSMUSG00000065508	Mir17	Mirn17|mir-17|mmu-mir-17	microRNA 17	ncRNA
Sanchez_et_al_peak_2508	chr8	124543321	124543552	+	206	NA	intron (NM_029746, intron 11 of 17)	intron (NM_029746, intron 11 of 17)	22669	NM_029746	76332	Mm.240108	NM_029746	ENSMUSG00000031979	Cog2	1190002B08Rik|2700012E02Rik|C86089|Ldlc	component of oligomeric golgi complex 2	protein-coding
Sanchez_et_al_peak_1804	chr4	141999815	142000046	+	206	NA	intron (NM_177868, intron 2 of 31)	intron (NM_177868, intron 2 of 31)	11721	NM_177868	329977	Mm.252019	NM_028429	ENSMUSG00000051435	Fhad1	2900090M10Rik|B230311F11	forkhead-associated (FHA) phosphopeptide binding domain 1	protein-coding
Sanchez_et_al_peak_2065	chr6	61363836	61364070	+	206	NA	intron (NM_183310, intron 3 of 10)	intron (NM_183310, intron 3 of 10)	-183143	NR_040287	100504262	Mm.438066	NR_040287		A730020E08Rik	-	RIKEN cDNA A730020E08 gene	ncRNA
Sanchez_et_al_peak_610	chr12	91854052	91854360	+	206	NA	Intergenic	Intergenic	-5049	NM_001039089	20338	Mm.250605	NM_011344	ENSMUSG00000020964	Sel1l	AW493766|Sel1h|mKIAA4137	sel-1 suppressor of lin-12-like (C. elegans)	protein-coding
Sanchez_et_al_peak_1540	chr2	168721270	168721566	+	206	NA	intron (NM_001289446, intron 1 of 27)	intron (NM_001289446, intron 1 of 27)	-8461	NM_001354977	11981	Mm.330819	NM_015731	ENSMUSG00000027546	Atp9a	IIa	ATPase, class II, type 9A	protein-coding
Sanchez_et_al_peak_1704	chr4	44756104	44756324	+	206	NA	promoter-TSS (NM_138590)	promoter-TSS (NM_138590)	-345	NM_138590	319885	Mm.331576	NM_138590	ENSMUSG00000035649	Zcchc7	4930572I07Rik|D4Wsu132e	zinc finger, CCHC domain containing 7	protein-coding
Sanchez_et_al_peak_756	chr14	32513304	32513503	+	200	NA	promoter-TSS (NM_001081221)	promoter-TSS (NM_001081221)	-118	NM_001081221	319955	Mm.318310	NM_001081221	ENSMUSG00000054051	Ercc6	4732403I04|C130058G22Rik|CSB	excision repair cross-complementing rodent repair deficiency, complementation group 6	protein-coding
Sanchez_et_al_peak_247	chr10	89450424	89450649	+	200	NA	Intergenic	Intergenic	-6569	NM_001284344	237436	Mm.11982	NM_001033331	ENSMUSG00000074802	Gas2l3	8430435B07Rik|Gm240	growth arrest-specific 2 like 3	protein-coding
Sanchez_et_al_peak_430	chr11	87448933	87449185	+	200	NA	intron (NM_031386, intron 2 of 30)	intron (NM_031386, intron 2 of 30)	21468	NM_001199293	83560	Mm.440758	NM_031386	ENSMUSG00000010342	Tex14	C85585	testis expressed gene 14	protein-coding
Sanchez_et_al_peak_1523	chr2	162986180	162986372	+	200	NA	Intergenic	Intergenic	-1205	NM_001291154	27219	Mm.26462	NM_013731	ENSMUSG00000017868	Sgk2	AI098171|AW146006|Sgkl	serum/glucocorticoid regulated kinase 2	protein-coding
Sanchez_et_al_peak_2068	chr6	67268101	67268498	+	197	NA	intron (NM_001113565, intron 1 of 7)	intron (NM_001113565, intron 1 of 7)	1320	NM_025814	66870	Mm.240490	NM_025814	ENSMUSG00000036371	Serbp1	1200009K13Rik|9330147J08Rik|AL022786|Pairbp1	serpine1 mRNA binding protein 1	protein-coding
Sanchez_et_al_peak_1368	chr2	3332505	3332725	+	197	NA	promoter-TSS (NM_001013376)	promoter-TSS (NM_001013376)	13	NM_001013376	227522	Mm.293948	NM_001013376	ENSMUSG00000049950	Rpp38	C330006A15Rik	ribonuclease P/MRP 38 subunit	protein-coding
Sanchez_et_al_peak_1126	chr17	39846295	39846762	+	196	NA	non-coding (NR_046233, exon 1 of 1)	non-coding (NR_046233, exon 1 of 1)	3531	NR_046233	100861531		NR_046233		Rn45s	-	45S pre-ribosomal RNA	rRNA
Sanchez_et_al_peak_1796	chr4	140684657	140684910	+	193	NA	Intergenic	Intergenic	-16690	NM_173867	108911	Mm.253	NM_173867	ENSMUSG00000040945	Rcc2	2610510H01Rik|2610529N02Rik|AA536646|AA675016|Td60|mKIAA1470	regulator of chromosome condensation 2	protein-coding
Sanchez_et_al_peak_1938	chr5	123136492	123136691	+	193	NA	Intergenic	Intergenic	-3962	NM_175092	23912	Mm.253876	NM_175092	ENSMUSG00000029449	Rhof	AI845056|AV026554|Arhf|Ifld1|Rif	ras homolog family member F (in filopodia)	protein-coding
Sanchez_et_al_peak_467	chr11	100545419	100545682	+	193	NA	promoter-TSS (NM_001363174)	promoter-TSS (NM_001363174)	-58	NM_001363174	74407	Mm.31590	NM_028918	ENSMUSG00000006784	Ttc25	4933404O19Rik	tetratricopeptide repeat domain 25	protein-coding
Sanchez_et_al_peak_132	chr1	172160049	172160241	+	193	NA	intron (NM_001357204, intron 2 of 13)	intron (NM_001357204, intron 2 of 13)	12130	NM_153555	98193	Mm.159915	NM_153555	ENSMUSG00000026554	Dcaf8	AA408877|AA433120|AA792214|AU018973|C76055|D1Dau35e|D1Ucla4|H326|Wdr42a	DDB1 and CUL4 associated factor 8	protein-coding
Sanchez_et_al_peak_1746	chr4	115850712	115850891	+	193	NA	intron (NM_001355174, intron 2 of 11)	intron (NM_001355174, intron 2 of 11)	11580	NM_001369238	17346	Mm.209327	NM_021461	ENSMUSG00000028708	Mknk1	2410048M24Rik|Mnk1	MAP kinase-interacting serine/threonine kinase 1	protein-coding
Sanchez_et_al_peak_1848	chr5	21425313	21425542	+	193	NA	promoter-TSS (NM_029195)	promoter-TSS (NM_029195)	524	NM_177869	330050	Mm.40655	NM_177869	ENSMUSG00000047221	Fam185a	4631428I10|AI847670	family with sequence similarity 185, member A	protein-coding
Sanchez_et_al_peak_549	chr12	25097252	25097479	+	193	NA	Intergenic	Intergenic	-1273	NM_010496	15902	Mm.34871	NM_010496	ENSMUSG00000020644	Id2	AI255428|C78922|Idb2|bHLHb26	inhibitor of DNA binding 2	protein-coding
Sanchez_et_al_peak_828	chr15	25650474	25650675	+	193	NA	intron (NM_019472, intron 1 of 40)	intron (NM_019472, intron 1 of 40)	28024	NM_019472	17909	Mm.60590	NM_019472	ENSMUSG00000022272	Myo10	AW048724|D15Ertd600e|mKIAA0799|myosin-X	myosin X	protein-coding
Sanchez_et_al_peak_1908	chr5	103306146	103306429	+	193	NA	Intergenic	ERVB7_1-LTR_MM|LTR|ERVK	-7258	NR_040699	74624	Mm.389662	NR_040699	ENSMUSG00000104956	4930429D17Rik	-	RIKEN cDNA 4930429D17 gene	ncRNA
Sanchez_et_al_peak_1425	chr2	57123354	57123566	+	193	NA	intron (NM_001139509, intron 1 of 7)	CpG	543	NM_001139509	18227	Mm.3507	NM_013613	ENSMUSG00000026826	Nr4a2	HZF-3|NOT|Nurr1|RNR-1|TINOR|TINUR	nuclear receptor subfamily 4, group A, member 2	protein-coding
Sanchez_et_al_peak_602	chr12	80113030	80113287	+	193	NA	promoter-TSS (NM_007564)	promoter-TSS (NM_007564)	-145	NM_007564	12192	Mm.235132	NM_007564	ENSMUSG00000021127	Zfp36l1	AW742437|AW743212|Berg36|Brf1|D530020L18Rik|ERF1|TIS11b|cMG1	zinc finger protein 36, C3H type-like 1	protein-coding
Sanchez_et_al_peak_2396	chr8	18594780	18595031	+	193	NA	promoter-TSS (NM_173189)	promoter-TSS (NM_173189)	-226	NM_173189	244329	Mm.235296	NM_173189	ENSMUSG00000039842	Mcph1	5430437K10Rik|BRIT1|D030046N04Rik|MCT|Tg(HLA-A2.1)1Enge	microcephaly, primary autosomal recessive 1	protein-coding
Sanchez_et_al_peak_1200	chr18	30272612	30272840	+	193	NA	promoter-TSS (NM_181414)	promoter-TSS (NM_181414)	-139	NR_151699	225326	Mm.194127	NM_181414	ENSMUSG00000033628	Pik3c3	5330434F23Rik|Vps34	phosphatidylinositol 3-kinase catalytic subunit type 3	protein-coding
Sanchez_et_al_peak_1381	chr2	25862168	25862358	+	193	NA	Intergenic	Intergenic	-1532	NM_001145403	227632	Mm.119462	NM_175462	ENSMUSG00000058740	Kcnt1	C030030G16Rik|Slack|Slo2.2|slo2	potassium channel, subfamily T, member 1	protein-coding
Sanchez_et_al_peak_2626	chr9	102734883	102735047	+	193	NA	Intergenic	Intergenic	-4683	NR_033301	434510	Mm.387937	NM_001034892	ENSMUSG00000093812	Gm5627	EG434510	predicted gene 5627	ncRNA
Sanchez_et_al_peak_877	chr15	62037948	62038135	+	193	NA	promoter-TSS (NR_003368)	promoter-TSS (NR_003368)	55	NR_003368	19296	Mm.4608	NM_011222	ENSMUSG00000097039	Pvt1	Ayu21-84Imeg|Gt(pU21)84Imeg|Mis-1|Mlvi-1|Pvt-1	Pvt1 oncogene	ncRNA
Sanchez_et_al_peak_1044	chr16	87496124	87496382	+	193	NA	promoter-TSS (NM_009840)	promoter-TSS (NM_009840)	180	NR_040375	414095	Mm.166361	NR_040375	ENSMUSG00000093606	B130034C11Rik	-	RIKEN cDNA B130034C11 gene	ncRNA
Sanchez_et_al_peak_813	chr14	120312968	120313274	+	193	NA	intron (NM_001360376, intron 1 of 8)	intron (NM_001360376, intron 1 of 8)	6669	NM_001360376	105559	Mm.238266	NM_175341	ENSMUSG00000022139	Mbnl2	1110002M11Rik|AI047808|AI837313|AI849185|AL118326|MBLL|R75232|mKIAA4072	muscleblind like splicing factor 2	protein-coding
Sanchez_et_al_peak_2459	chr8	91630824	91630998	+	192	NA	intron (NM_011936, intron 8 of 8)	intron (NM_011936, intron 8 of 8)	170743	NM_008393	16373	Mm.238044	NM_008393	ENSMUSG00000031734	Irx3	AI894186	Iroquois related homeobox 3	protein-coding
Sanchez_et_al_peak_867	chr15	59054868	59055132	+	190	NA	intron (NM_001146180, intron 3 of 13)	intron (NM_001146180, intron 3 of 13)	27026	NM_144800	211401	Mm.215481	NM_144800	ENSMUSG00000022353	Mtss1	2310003N14Rik|BC024131|D130001D01Rik|Mim|mKIAA0429	MTSS I-BAR domain containing 1	protein-coding
Sanchez_et_al_peak_1394	chr2	30062428	30062807	+	190	NA	intron (NM_023871, intron 1 of 7)	intron (NM_023871, intron 1 of 7)	621	NM_023871	56086	Mm.326055	NM_023871	ENSMUSG00000054766	Set	2610030F17Rik|5730420M11Rik|AA407739|I-2PP2A|StF-IT-1|TAF-I	SET nuclear oncogene	protein-coding
Sanchez_et_al_peak_239	chr10	84354419	84354661	+	189	NA	Intergenic	Intergenic	86128	NM_001004363	77976	Mm.25874	NM_001004363	ENSMUSG00000020032	Nuak1	AU014801|AW494241|B230104P22Rik|Omphk1	NUAK family, SNF1-like kinase, 1	protein-coding
Sanchez_et_al_peak_682	chr13	60480880	60481164	+	189	NA	Intergenic	Intergenic	-120925	NM_029653	69635	Mm.24103	NM_029653	ENSMUSG00000021559	Dapk1	D13Ucla1|DAP-Kinase	death associated protein kinase 1	protein-coding
Sanchez_et_al_peak_1296	chr19	16319984	16320404	+	189	NA	intron (NM_008139, intron 3 of 6)	B4|SINE|B4	-5190	NR_105832	102465218		NR_105832	ENSMUSG00000098718	Mir496b	Gm28028|mmu-mir-496b	microRNA 496b	ncRNA
Sanchez_et_al_peak_1371	chr2	6359671	6360075	+	189	NA	intron (NM_181399, intron 1 of 13)	MER3|DNA|hAT-Charlie	7137	NM_181399	98910	Mm.40673	NM_181399	ENSMUSG00000039046	Usp6nl	AI316785|RNTRE|TRE2NL|mKIAA0019	USP6 N-terminal like	protein-coding
Sanchez_et_al_peak_1564	chr3	31146046	31146255	+	189	NA	Intergenic	Intergenic	-3770	NM_008770	18417	Mm.4425	NM_008770	ENSMUSG00000037625	Cldn11	Claudin-11|Claudin11|Osp|Otm	claudin 11	protein-coding
Sanchez_et_al_peak_1818	chr4	149445330	149445525	+	189	NA	Intergenic	CpG	9541	NM_022020	63954	Mm.46023	NM_022020	ENSMUSG00000028996	Rbp7	1110002J23Rik|CRBP-III	retinol binding protein 7, cellular	protein-coding
Sanchez_et_al_peak_971	chr15	103240658	103240992	+	188	NA	promoter-TSS (NM_001076789)	promoter-TSS (NM_001076789)	371	NR_002883	434858	Mm.391346	NR_002883		Gm5643	EG434858	heterogeneous nuclear ribonucleoprotein A1 pseudogene	pseudo
Sanchez_et_al_peak_2486	chr8	117297614	117297850	+	187	NA	intron (NM_001163262, intron 1 of 20)	intron (NM_001163262, intron 1 of 20)	40713	NM_001163262	74440	Mm.233181	NM_028941	ENSMUSG00000034390	Cmip	4933407C03Rik|5830471E12Rik|AI314065|AI464126	c-Maf inducing protein	protein-coding
Sanchez_et_al_peak_1997	chr5	149184466	149184714	+	187	NA	promoter-TSS (NM_001286824)	promoter-TSS (NM_001286824)	30	NM_001359956	231915	Mm.29402	NM_001013378	ENSMUSG00000041264	Uspl1	E430026A01Rik	ubiquitin specific peptidase like 1	protein-coding
Sanchez_et_al_peak_1418	chr2	38926643	38926810	+	180	NA	promoter-TSS (NM_010264)	promoter-TSS (NM_010264)	-265	NM_010264	14536	Mm.439703	NM_010264	ENSMUSG00000063972	Nr6a1	1700113M01Rik|Gcnf|NCNF|RTR	nuclear receptor subfamily 6, group A, member 1	protein-coding
Sanchez_et_al_peak_1962	chr5	138870938	138871141	+	180	NA	Intergenic	Intergenic	50959	NM_001195128	384244	Mm.485002	NM_001195128	ENSMUSG00000094504	Gm5294	EG384244	predicted gene 5294	protein-coding
Sanchez_et_al_peak_990	chr16	17147531	17147774	+	180	NA	promoter-TSS (NM_001306169)	promoter-TSS (NM_001306169)	-423	NM_001306169	76872	Mm.101656	NM_029779	ENSMUSG00000022768	Ccdc116	4930432J16Rik	coiled-coil domain containing 116	protein-coding
Sanchez_et_al_peak_2164	chr6	127561662	127561870	+	180	NA	intron (NM_001368877, intron 1 of 18)	intron (NM_001368877, intron 1 of 18)	430	NM_001368877	381812	Mm.296093	NM_001033464	ENSMUSG00000061414	Cracr2a	Efcab4b|Gm1073|Gm462	calcium release activated channel regulator 2A	protein-coding
Sanchez_et_al_peak_1865	chr5	43094442	43094665	+	180	NA	Intergenic	Intergenic	-138700	NM_001368805	231207	Mm.7233	NM_175937	ENSMUSG00000039782	Cpeb2	A630055H10Rik|Cpe-bp2	cytoplasmic polyadenylation element binding protein 2	protein-coding
Sanchez_et_al_peak_2667	chrX	77509296	77509500	+	180	NA	Intergenic	Intergenic	-1829	NM_020601	21372	Mm.258476	NM_020601	ENSMUSG00000025246	Tbl1x	5330429M20|Tbl1	transducin (beta)-like 1 X-linked	protein-coding
Sanchez_et_al_peak_527	chr11	120261494	120261779	+	180	NA	intron (NM_198423, intron 3 of 27)	intron (NM_198423, intron 3 of 27)	28689	NM_198423	268515	Mm.309498	NM_198423	ENSMUSG00000039741	Bahcc1	B930044J06|BC060615	BAH domain and coiled-coil containing 1	protein-coding
Sanchez_et_al_peak_2080	chr6	82702785	82703039	+	180	NA	Intergenic	Intergenic	-50038	NM_001370295	66979	Mm.195753	NM_025882	ENSMUSG00000030042	Pole4	2400007P05Rik|5830430F06Rik	polymerase (DNA-directed), epsilon 4 (p12 subunit)	protein-coding
Sanchez_et_al_peak_685	chr13	63766131	63766293	+	180	NA	Intergenic	Intergenic	-31914	NR_126476	75522	Mm.54259	NR_126476	ENSMUSG00000113825	1700024I08Rik	-	RIKEN cDNA 1700024I08 gene	ncRNA
Sanchez_et_al_peak_806	chr14	101653598	101653803	+	180	NA	promoter-TSS (NM_016723)	promoter-TSS (NM_016723)	-267	NM_016723	50933	Mm.275970	NM_016723	ENSMUSG00000022111	Uchl3	-	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)	protein-coding
Sanchez_et_al_peak_600	chr12	79905914	79906095	+	180	NA	Intergenic	Intergenic	18729	NR_131075	77290	Mm.395042	NR_131073	ENSMUSG00000112765	9430078K24Rik	-	RIKEN cDNA 9430078K24 gene	ncRNA
Sanchez_et_al_peak_2489	chr8	119586169	119586355	+	180	NA	intron (NM_026648, intron 5 of 11)	RLTR1B-int|LTR|ERV1	11027	NM_026648	68270	Mm.41977	NM_026648	ENSMUSG00000031831	Dnaaf1	4930457P18Rik|Lrrc50|m4Bei	dynein, axonemal assembly factor 1	protein-coding
Sanchez_et_al_peak_1886	chr5	75323929	75324147	+	180	NA	Intergenic	Intergenic	147207	NR_105992	102465620		NR_105992	ENSMUSG00000099060	Mir7025	Gm27860|mmu-mir-7025	microRNA 7025	ncRNA
Sanchez_et_al_peak_1971	chr5	140790843	140791104	+	180	NA	intron (NM_010302, intron 1 of 3)	intron (NM_010302, intron 1 of 3)	39458	NM_010302	14673	Mm.370185	NM_010302	ENSMUSG00000000149	Gna12	AI414047|AI504261|Galpha12	guanine nucleotide binding protein, alpha 12	protein-coding
Sanchez_et_al_peak_1772	chr4	132757084	132757277	+	180	NA	promoter-TSS (NM_133888)	promoter-TSS (NM_133888)	-9	NM_133888	100340	Mm.287187	NM_133888	ENSMUSG00000028885	Smpdl3b	1110054A24Rik|AU045240|Asml3b	sphingomyelin phosphodiesterase, acid-like 3B	protein-coding
Sanchez_et_al_peak_2018	chr6	30437063	30437218	+	180	NA	intron (NM_029742, intron 2 of 9)	intron (NM_029742, intron 2 of 9)	-23845	NR_131049	69337	Mm.396168	NR_131049	ENSMUSG00000085470	1700012C14Rik	-	RIKEN cDNA 1700012C14 gene	ncRNA
Sanchez_et_al_peak_1660	chr3	121852157	121852355	+	180	NA	Intergenic	Intergenic	-36954	NM_008991	19299	Mm.399042	NM_008991	ENSMUSG00000028127	Abcd3	AI313901|AU018866|AW146054|PMP68|PMP70|Pxmp1	ATP-binding cassette, sub-family D (ALD), member 3	protein-coding
Sanchez_et_al_peak_37	chr1	59684900	59685262	+	178	NA	promoter-TSS (NM_018868)	promoter-TSS (NM_018868)	75	NM_018868	55989	Mm.220367	NM_018868	ENSMUSG00000026020	Nop58	MSSP|Nol5|SIK|nop5	NOP58 ribonucleoprotein	protein-coding
Sanchez_et_al_peak_622	chr12	113074312	113074527	+	177	NA	promoter-TSS (NM_001361920)	promoter-TSS (NM_001361920)	-83	NM_029381	75671	Mm.23377	NM_029381	ENSMUSG00000012211	Tex22	1700028O09Rik|AV210422|Tep22	testis expressed gene 22	protein-coding
Sanchez_et_al_peak_2448	chr8	84665726	84665882	+	177	NA	Intergenic	Intergenic	-2952	NM_010499	15936	Mm.399	NM_010499	ENSMUSG00000053560	Ier2	AI317238|Ch1|Pip92	immediate early response 2	protein-coding
Sanchez_et_al_peak_1183	chr18	3936918	3937168	+	177	NA	Intergenic	Intergenic	-228789	NM_026092	67328	Mm.158148	NM_026092	ENSMUSG00000024233	Lyzl1	1700038F02Rik|Lyc2|Lyzd1	lysozyme-like 1	protein-coding
Sanchez_et_al_peak_2053	chr6	51448360	51448584	+	177	NA	intron (NM_010903, intron 1 of 3)	B3|SINE|B2	15803	NM_010903	18025	Mm.42138	NM_010903	ENSMUSG00000029832	Nfe2l3	Nrf3	nuclear factor, erythroid derived 2, like 3	protein-coding
Sanchez_et_al_peak_1869	chr5	53196456	53196693	+	175	NA	intron (NM_172710, intron 2 of 23)	intron (NM_172710, intron 2 of 23)	16878	NM_172710	231238	Mm.235020	NM_172710	ENSMUSG00000029189	Sel1l3	2310045A20Rik|AI429585|mKIAA0746	sel-1 suppressor of lin-12-like 3 (C. elegans)	protein-coding
Sanchez_et_al_peak_1652	chr3	108641105	108641354	+	175	NA	intron (NM_001358053, intron 13 of 14)	B4A|SINE|B4	-12684	NM_145543	229725	Mm.214545	NM_145543	ENSMUSG00000027884	Clcc1	Mclc	chloride channel CLIC-like 1	protein-coding
